Date,Open,High,Low,Close,Volume,ticker
2021-05-10,1220.4050716477998,1220.4050716477998,1195.898945711097,1200.8001708984375,6275200,ISAT.JK
2021-05-11,1200.8001307106804,1210.602580757298,1181.1952306174446,1190.9976806640625,7087600,ISAT.JK
2021-05-17,1190.9977230566815,1195.8989482544455,1141.9854710790403,1171.392822265625,8641200,ISAT.JK
2021-05-18,1171.3928002529458,1205.7013759925717,1146.8866747246414,1195.89892578125,8746800,ISAT.JK
2021-05-19,1195.898927832852,1205.70137806099,1161.5903520343684,1166.4915771484375,4229600,ISAT.JK
2021-05-20,1166.491552734375,1274.3185029871324,1156.689102711397,1249.8123779296875,23875600,ISAT.JK
2021-05-21,1254.7136600378788,1328.2320385557234,1254.7136600378788,1293.9234619140625,29816000,ISAT.JK
2021-05-24,1293.92333984375,1313.5282389322917,1205.7012939453125,1235.108642578125,20893600,ISAT.JK
2021-05-25,1259.6148481369019,1259.6148481369019,1215.5038223266602,1254.713623046875,4604000,ISAT.JK
2021-05-27,1254.7135836693549,1274.3184834141887,1215.5037841796875,1215.5037841796875,9895600,ISAT.JK
2021-05-28,1220.4049277343752,1249.812275390625,1215.5037031250001,1225.30615234375,7650800,ISAT.JK
2021-05-31,1225.3063532311146,1269.4173819474347,1225.3063532311146,1244.9112548828125,7358400,ISAT.JK
2021-06-02,1244.9113456294222,1323.3309579525353,1244.9113456294222,1298.8248291015625,13763200,ISAT.JK
2021-06-03,1303.7259261479016,1372.3430801556858,1274.3185744302798,1357.639404296875,13538000,ISAT.JK
2021-06-04,1357.639304254288,1362.5405291793938,1293.9233802279134,1303.725830078125,7517200,ISAT.JK
2021-06-07,1323.3307704640858,1342.9356707672573,1303.7258701609142,1313.5283203125,4681200,ISAT.JK
2021-06-08,1313.5283030790442,1313.5283030790442,1235.1087028952206,1249.8123779296875,9756400,ISAT.JK
2021-06-09,1249.8124694824219,1362.5406530043658,1244.9112441119025,1333.13330078125,15287600,ISAT.JK
2021-06-10,1347.8368123372395,1411.552734375,1333.1331380208333,1352.738037109375,16437200,ISAT.JK
2021-06-11,1362.5406327476362,1387.046759235903,1303.7259291757957,1328.2320556640625,9266400,ISAT.JK
2021-06-14,1328.231913248698,1367.4417114257812,1328.231913248698,1352.738037109375,5943200,ISAT.JK
2021-06-15,1357.6392618815105,1372.3429361979167,1293.92333984375,1323.3306884765625,8250000,ISAT.JK
2021-06-16,1323.330877896013,1333.1333288433907,1274.3186231591235,1279.2198486328125,7951200,ISAT.JK
2021-06-17,1279.2197465969407,1298.8246469279281,1264.5160713486998,1284.1209716796875,5481200,ISAT.JK
2021-06-18,1293.9233988667584,1342.9356488238325,1274.3184988839287,1338.034423828125,17592400,ISAT.JK
2021-06-21,1338.0346365915218,1396.849345892248,1274.318701515735,1391.9481201171875,17629600,ISAT.JK
2021-06-22,1391.9479556613499,1455.6638832092285,1362.5406044854058,1411.5528564453125,17320000,ISAT.JK
2021-06-23,1411.5527973790322,1445.861372315328,1367.4417724609375,1367.4417724609375,7479200,ISAT.JK
2021-06-24,1367.4418146306818,1367.4418146306818,1333.1332386363636,1347.8369140625,7284400,ISAT.JK
2021-06-25,1342.9356276697392,1362.54052734375,1328.2319529142312,1362.54052734375,3216400,ISAT.JK
2021-06-28,1372.3429361979167,1391.9478352864583,1338.0343627929688,1352.738037109375,3884000,ISAT.JK
2021-06-29,1357.6393817874557,1382.1455078125,1313.528354942376,1382.1455078125,8829200,ISAT.JK
2021-06-30,1411.5528199133212,1411.5528199133212,1333.1332188070255,1342.9356689453125,10433600,ISAT.JK
2021-07-01,1338.0343411812987,1338.0343411812987,1259.61474609375,1259.61474609375,19100400,ISAT.JK
2021-07-02,1259.6148481369019,1293.9234237670898,1249.8123979568481,1254.713623046875,5199200,ISAT.JK
2021-07-05,1254.7136454183267,1274.3185461279882,1225.3062943538346,1230.20751953125,4697600,ISAT.JK
2021-07-06,1235.1088040569637,1259.6149311215859,1235.1088040569637,1244.9112548828125,4978000,ISAT.JK
2021-07-07,1249.8124434308309,1249.8124434308309,1186.0965149422002,1205.701416015625,15820000,ISAT.JK
2021-07-08,1210.602580757298,1215.503805780607,1186.0964556407537,1190.9976806640625,13346800,ISAT.JK
2021-07-09,1195.8989056873713,1215.503805780607,1176.2940055941358,1190.9976806640625,6143600,ISAT.JK
2021-07-12,1195.8988444010417,1274.3184407552083,1190.9976196289062,1264.5159912109375,13610800,ISAT.JK
2021-07-13,1264.516056013696,1274.318506060314,1186.0964556407537,1190.9976806640625,15166800,ISAT.JK
2021-07-14,1190.9977006755892,1200.8001508869108,1181.1952504642675,1195.89892578125,4124800,ISAT.JK
2021-07-15,1195.898945711097,1215.5038464604593,1195.898945711097,1200.8001708984375,4407200,ISAT.JK
2021-07-16,1205.7013557339892,1205.7013557339892,1186.0964556407537,1190.9976806640625,3352800,ISAT.JK
2021-07-19,1190.9977402105565,1220.4050918206935,1181.195289673844,1205.701416015625,7487200,ISAT.JK
2021-07-21,1210.6026848406832,1220.4051357300814,1186.0965576171875,1186.0965576171875,6325200,ISAT.JK
2021-07-22,1190.9977006755892,1210.6026010982325,1186.0964755699283,1195.89892578125,7172400,ISAT.JK
2021-07-23,1195.898927832852,1200.8001529469211,1166.4915771484375,1166.4915771484375,8689600,ISAT.JK
2021-07-26,1166.4916558383911,1190.9977830618866,1166.4916558383911,1186.0965576171875,7089200,ISAT.JK
2021-07-27,1195.8990329146889,1205.7014840041536,1127.2818752884361,1161.5904541015625,12612000,ISAT.JK
2021-07-28,1166.4916231925026,1171.3928485000342,1112.578144809656,1117.4793701171875,9753200,ISAT.JK
2021-07-29,1166.491616821289,1200.800193786621,1127.2818145751953,1176.2940673828125,28170400,ISAT.JK
2021-07-30,1195.8988864704713,1230.2074610823292,1137.084187135858,1156.6890869140625,11736800,ISAT.JK
2021-08-02,1166.4915771484375,1190.9977027187829,1156.6891269202995,1166.4915771484375,5145600,ISAT.JK
2021-08-03,1166.4915771484375,1176.2940273765757,1156.6891269202995,1166.4915771484375,9620400,ISAT.JK
2021-08-04,1176.294047463389,1190.9977230566815,1156.6891466723325,1171.392822265625,5932400,ISAT.JK
2021-08-05,1181.1952504642675,1195.89892578125,1156.689124935963,1195.89892578125,6467200,ISAT.JK
2021-08-06,1195.8989654789125,1215.5038665523373,1176.2940644054877,1205.701416015625,8492000,ISAT.JK
2021-08-09,1186.096517944336,1210.6026443481446,1166.491616821289,1176.2940673828125,4186400,ISAT.JK
2021-08-10,1176.2940836918017,1210.6026611328125,1137.0842809020749,1210.6026611328125,9529600,ISAT.JK
2021-08-12,1215.5037634325593,1279.2196865157177,1195.8988640223567,1240.0098876953125,20818800,ISAT.JK
2021-08-13,1244.9112511268029,1313.5284067007212,1240.0100257286658,1274.318603515625,26928400,ISAT.JK
2021-08-16,1289.022221660234,1289.022221660234,1195.8989432893427,1230.20751953125,22948800,ISAT.JK
2021-08-18,1195.8989482544455,1195.8989482544455,1151.7879214745685,1171.392822265625,19302800,ISAT.JK
2021-08-19,1171.3928002529458,1244.9111768378586,1166.4915751472847,1195.89892578125,18796400,ISAT.JK
