Date,Close,High,Low,Open,Volume,ticker
2026-04-27,4070.0,4150.0,4030.0,4140.0,3047700,CPIN.JK
2026-04-28,4090.0,4090.0,4000.0,4070.0,2414500,CPIN.JK
2026-04-29,4110.0,4170.0,4090.0,4120.0,2879300,CPIN.JK
2026-04-30,4010.0,4150.0,3970.0,4150.0,9736000,CPIN.JK
2026-05-04,4090.0,4190.0,4070.0,4090.0,4596300,CPIN.JK
2026-05-05,4090.0,4140.0,4070.0,4120.0,1394500,CPIN.JK
2026-05-06,4040.0,4130.0,4010.0,4110.0,6617500,CPIN.JK
2026-05-07,4220.0,4220.0,4050.0,4080.0,6005000,CPIN.JK
2026-05-08,4050.0,4210.0,4050.0,4210.0,4768900,CPIN.JK
2026-05-11,4030.0,4120.0,4010.0,4050.0,5005100,CPIN.JK
2026-05-12,3980.0,4080.0,3960.0,4030.0,7523700,CPIN.JK
2026-05-13,4160.0,4220.0,4000.0,4000.0,7538600,CPIN.JK
2026-05-14,4160.0,4160.0,4160.0,4160.0,0,CPIN.JK
2026-05-15,4160.0,4160.0,4160.0,4160.0,0,CPIN.JK
2026-05-18,4200.0,4320.0,4110.0,4320.0,7729800,CPIN.JK
2026-05-19,4060.0,4200.0,4060.0,4200.0,5981800,CPIN.JK
2026-05-20,4170.0,4170.0,4010.0,4050.0,5053900,CPIN.JK
2026-05-21,4270.0,4270.0,4150.0,4170.0,7687600,CPIN.JK
2026-05-22,4350.0,4350.0,4150.0,4270.0,5365000,CPIN.JK
2026-05-25,4400.0,4440.0,4300.0,4360.0,4607500,CPIN.JK
2026-05-26,4480.0,4520.0,4360.0,4400.0,10649900,CPIN.JK
