Date,Open,High,Low,Close,Volume,ticker
2021-05-10,10461.51085004079,10503.440753247365,10230.896382404619,10440.5458984375,1161900,INTP.JK
2021-05-11,10398.615995230924,10545.37065645394,10314.756188817772,10440.5458984375,773900,INTP.JK
2021-05-17,10503.440753247365,10545.37065645394,10314.756188817772,10440.5458984375,2387500,INTP.JK
2021-05-18,10314.755094068876,10398.614891581632,10168.000448421555,10272.8251953125,1373700,INTP.JK
2021-05-19,10293.791115108497,10377.650920526898,10084.1416015625,10084.1416015625,1288500,INTP.JK
2021-05-20,10084.1416015625,10168.001406980899,10000.281796144101,10084.1416015625,1654600,INTP.JK
2021-05-21,10105.108425277484,10168.003290994979,9769.669141450846,9916.423828125,1247900,INTP.JK
2021-05-24,9916.422417534723,9979.317274305555,9748.702799479166,9811.59765625,820600,INTP.JK
2021-05-25,9685.807942708334,9895.457465277777,9685.807942708334,9811.59765625,1408000,INTP.JK
2021-05-27,9811.596769241267,9979.31637213428,9601.947265625,9601.947265625,5017700,INTP.JK
2021-05-28,9727.736897274634,10042.211150419287,9727.736897274634,10000.28125,2182500,INTP.JK
2021-05-31,10021.245464230371,10147.03515625,9916.420720880682,10147.03515625,1751200,INTP.JK
2021-06-02,10482.475249873483,10482.475249873483,10251.860794376265,10356.685546875,2283500,INTP.JK
2021-06-03,10272.826817729083,10650.195966135458,10272.826817729083,10524.40625,3147500,INTP.JK
2021-06-04,10524.405042613636,10524.405042613636,10335.720490056818,10377.650390625,1529000,INTP.JK
2021-06-07,10608.26617679751,10608.26617679751,10188.967118426068,10314.7568359375,942600,INTP.JK
2021-06-08,10188.966907661501,10377.651480025605,9979.3173828125,9979.3173828125,1461600,INTP.JK
2021-06-09,9979.316389520878,10105.106091909796,9727.73698474304,9790.6318359375,2579600,INTP.JK
2021-06-10,9790.631942814513,9916.421646576582,9727.737090933477,9769.6669921875,3024800,INTP.JK
2021-06-11,9832.562049278846,9937.386804601649,9476.157881181318,9539.052734375,6023500,INTP.JK
2021-06-14,9601.94758756868,9685.807391826922,9518.087783310439,9539.052734375,1590100,INTP.JK
2021-06-15,9643.878373182326,9643.878373182326,9350.36903138982,9371.333984375,3073300,INTP.JK
2021-06-16,9434.228624373607,9434.228624373607,9329.403861880568,9413.263671875,2306200,INTP.JK
2021-06-17,9371.332669005102,9371.332669005102,9224.578018707482,9245.54296875,2540400,INTP.JK
2021-06-18,9245.543075284091,9392.297727272728,9056.858522727272,9224.578125,4799900,INTP.JK
2021-06-21,9077.82421875,9182.648978781755,8910.104602699192,9077.82421875,3001400,INTP.JK
2021-06-22,9140.719074769053,9392.298498845266,9056.85926674365,9077.82421875,4291900,INTP.JK
2021-06-23,9224.578125,9287.472975852272,9098.788423295455,9224.578125,1866600,INTP.JK
2021-06-24,9392.297727272728,9392.297727272728,9224.578125,9224.578125,905300,INTP.JK
2021-06-25,9308.437473060345,9308.437473060345,9077.8230311602,9119.7529296875,1946200,INTP.JK
2021-06-28,9119.754796370366,9140.71974992524,8700.455725272877,8763.3505859375,3691200,INTP.JK
2021-06-29,8805.280164415082,9182.649314318587,8742.385306097833,8826.2451171875,4356400,INTP.JK
2021-06-30,8805.27917361954,8993.963727339957,8637.5595703125,8637.5595703125,3024200,INTP.JK
2021-07-01,8637.560864608253,8784.315539492374,8553.701050388756,8763.3505859375,3168800,INTP.JK
2021-07-02,8784.314346168154,8868.174148995535,8679.489592633929,8805.279296875,2255100,INTP.JK
2021-07-05,8805.279723971129,8805.279723971129,8532.7353515625,8532.7353515625,2509100,INTP.JK
2021-07-06,8532.734527012088,8972.998470666274,8532.734527012088,8889.138671875,2620400,INTP.JK
2021-07-07,8889.139868341405,8889.139868341405,8574.665580546309,8658.525390625,3218500,INTP.JK
2021-07-08,8658.524202277862,8889.138648343374,8616.594302993222,8700.4541015625,2843600,INTP.JK
2021-07-09,8805.279626980633,9140.718850865609,8763.349723995012,8931.0693359375,4222700,INTP.JK
2021-07-12,9098.788838370901,9308.438350775761,8931.069228447015,8952.0341796875,4660800,INTP.JK
2021-07-13,9035.89453356413,9119.754343620409,8805.28005590936,8847.2099609375,3138700,INTP.JK
2021-07-14,8847.208749058735,8889.138648343374,8553.699454066265,8700.4541015625,1911600,INTP.JK
2021-07-15,8742.384000847138,8847.208749058735,8658.524202277862,8700.4541015625,2994800,INTP.JK
2021-07-16,8763.3495135441,9098.78872937354,8763.3495135441,8972.9990234375,4049100,INTP.JK
2021-07-19,9060.969602098652,9126.947536094516,8885.028444776348,8972.9990234375,2770200,INTP.JK
2021-07-21,9016.984677269345,9302.889069475446,8951.006740606399,9236.9111328125,3328800,INTP.JK
2021-07-22,9236.911010742188,9302.888946533203,9126.947784423828,9148.9404296875,2173300,INTP.JK
2021-07-23,9258.902999543796,9258.902999543796,9016.98391879562,9038.9765625,1519600,INTP.JK
2021-07-26,9126.947472483067,9126.947472483067,8907.021027362993,8929.013671875,1770200,INTP.JK
