Date,Close,High,Low,Open,Volume,ticker
2026-04-27,390.0,394.0,384.0,394.0,27315000,AVIA.JK
2026-04-28,388.0,394.0,378.0,388.0,18263300,AVIA.JK
2026-04-29,392.0,404.0,388.0,390.0,36411600,AVIA.JK
2026-04-30,386.0,394.0,382.0,392.0,25713500,AVIA.JK
2026-05-04,392.0,396.0,384.0,386.0,13753900,AVIA.JK
2026-05-05,390.0,396.0,388.0,392.0,10452400,AVIA.JK
2026-05-06,390.0,392.0,382.0,390.0,38543600,AVIA.JK
2026-05-07,392.0,394.0,386.0,390.0,17138900,AVIA.JK
2026-05-08,374.0,394.0,374.0,392.0,20226800,AVIA.JK
2026-05-11,376.0,382.0,370.0,382.0,8366500,AVIA.JK
2026-05-12,370.0,376.0,364.0,376.0,14100200,AVIA.JK
2026-05-13,366.0,368.0,360.0,368.0,8332100,AVIA.JK
2026-05-14,366.0,366.0,366.0,366.0,0,AVIA.JK
2026-05-15,366.0,366.0,366.0,366.0,0,AVIA.JK
2026-05-18,356.0,366.0,352.0,366.0,14482700,AVIA.JK
2026-05-19,344.0,358.0,340.0,354.0,17839400,AVIA.JK
2026-05-20,342.0,348.0,336.0,344.0,13814700,AVIA.JK
2026-05-21,336.0,350.0,332.0,342.0,26256900,AVIA.JK
2026-05-22,332.0,336.0,326.0,332.0,13189700,AVIA.JK
2026-05-25,340.0,342.0,328.0,334.0,15618900,AVIA.JK
2026-05-26,344.0,346.0,338.0,340.0,9047900,AVIA.JK
2026-05-27,344.0,344.0,344.0,344.0,0,AVIA.JK
2026-05-28,344.0,344.0,344.0,344.0,0,AVIA.JK
2026-05-29,348.0,348.0,334.0,342.0,26990400,AVIA.JK
2026-06-02,336.0,348.0,336.0,348.0,7930900,AVIA.JK
2026-06-03,324.0,338.0,322.0,338.0,16419900,AVIA.JK
2026-06-04,316.0,328.0,310.0,324.0,13851500,AVIA.JK
2026-06-05,302.0,318.0,302.0,316.0,18817600,AVIA.JK
2026-06-08,290.0,302.0,288.0,302.0,9867000,AVIA.JK
