Date,Open,High,Low,Close,Volume,ticker
2021-05-10,4498.556550678454,4761.985537880346,4498.556550678454,4620.13916015625,42701900,UNVR.JK
2021-05-11,4579.611423611112,4721.457795138889,4539.083888888889,4559.34765625,28767800,UNVR.JK
2021-05-17,4579.611519949777,4640.402823311942,4458.028913225447,4539.083984375,20202700,UNVR.JK
2021-05-18,4579.611617152466,4579.611617152466,4478.292776065023,4518.8203125,12773900,UNVR.JK
2021-05-19,4498.556040352638,4498.556040352638,4397.237210614966,4417.5009765625,16176000,UNVR.JK
2021-05-20,4417.501284722222,4559.34765625,4417.501284722222,4559.34765625,20439300,UNVR.JK
2021-05-21,4579.611617152466,4599.875385369955,4498.556544282511,4518.8203125,12760600,UNVR.JK
2021-05-24,4579.61201043941,4660.667090270196,4518.820700566321,4640.4033203125,19589000,UNVR.JK
2021-05-25,4660.665804825165,4660.665804825165,4518.819454243529,4599.87451171875,23086400,UNVR.JK
2021-05-27,4640.401974919529,4741.720795332619,4599.874446754292,4721.45703125,53308600,UNVR.JK
2021-05-28,4741.722466010552,4741.722466010552,4559.348525010146,4680.93115234375,26276900,UNVR.JK
2021-05-31,4680.930858122996,4741.72216796875,4620.139548277243,4741.72216796875,17773400,UNVR.JK
2021-06-02,4863.304787660256,4863.304787660256,4640.403318225828,4741.72216796875,31109000,UNVR.JK
2021-06-03,4701.194923566017,4701.194923566017,4599.87606745468,4680.93115234375,21195800,UNVR.JK
2021-06-04,4680.931160985896,4680.931160985896,4579.6123046875,4579.6123046875,15902700,UNVR.JK
2021-06-07,4579.611423611112,4620.138958333334,4559.34765625,4559.34765625,18097900,UNVR.JK
2021-06-08,4600.609546678796,4600.609546678796,4497.456866259989,4518.08740234375,18894700,UNVR.JK
2021-06-09,4518.086577793338,4538.717110112028,4332.411786925119,4373.6728515625,41615400,UNVR.JK
2021-06-10,4435.564448518573,4476.825513155955,4353.042319243809,4373.6728515625,22243100,UNVR.JK
2021-06-11,4373.673015844042,4414.93408203125,4311.78141656323,4414.93408203125,23436200,UNVR.JK
2021-06-14,4414.933747209821,4435.564278738839,4332.41162109375,4332.41162109375,11521500,UNVR.JK
2021-06-15,4311.78108252189,4332.41161401721,4229.25895654061,4270.52001953125,26706500,UNVR.JK
2021-06-16,4249.890296349158,4353.042973445012,4208.629225510817,4291.1513671875,23034600,UNVR.JK
2021-06-17,4270.520175877463,4270.520175877463,4187.998046875,4187.998046875,19772100,UNVR.JK
2021-06-18,4187.998203822544,4187.998203822544,4043.58447265625,4043.58447265625,57214300,UNVR.JK
2021-06-21,3961.0620404411766,4249.889480890012,3886.792127182904,4208.62841796875,34387400,UNVR.JK
2021-06-22,4208.628741878094,4229.259274926516,4126.106609684406,4167.36767578125,17867700,UNVR.JK
2021-06-23,4167.367772654684,4208.628839710671,4117.8544921875,4117.8544921875,9268200,UNVR.JK
2021-06-24,4117.854295299899,4167.367573399698,4093.09765625,4093.09765625,5114800,UNVR.JK
2021-06-25,4146.737468261719,4146.737468261719,4084.8458642578125,4126.10693359375,13206100,UNVR.JK
2021-06-28,4146.7373046875,4208.62890625,4043.5846354166665,4146.7373046875,15756100,UNVR.JK
2021-06-29,4208.629072265625,4249.890141601562,4093.098078125,4126.10693359375,17471600,UNVR.JK
2021-06-30,4126.10627761995,4126.10627761995,4084.8452148437505,4084.84521484375,13308000,UNVR.JK
2021-07-01,4084.8458573190787,4332.4122729141745,4084.8458573190787,4311.78173828125,24688000,UNVR.JK
2021-07-02,4291.150712985437,4291.150712985437,4187.998051615595,4249.8896484375,22708800,UNVR.JK
2021-07-05,4249.889465948549,4249.889465948549,4076.5930022885104,4084.84521484375,20589900,UNVR.JK
2021-07-06,4093.098078125,4146.737468261719,4068.3414365234376,4126.10693359375,11307700,UNVR.JK
2021-07-07,4093.0974581643004,4109.601883398834,4043.5841824606996,4068.3408203125,19448300,UNVR.JK
2021-07-08,4084.845603660301,4093.097817001029,4010.57568359375,4010.57568359375,14979500,UNVR.JK
2021-07-09,4002.3226959915005,4035.33154296875,3969.313849014251,4035.33154296875,13202300,UNVR.JK
2021-07-12,4043.5846354166665,4187.998372395833,4043.5846354166665,4146.7373046875,27418800,UNVR.JK
2021-07-13,4208.62841796875,4291.1505438112745,4146.736823586856,4208.62841796875,29032400,UNVR.JK
2021-07-14,4208.62841796875,4229.258949429381,4051.8363788679535,4208.62841796875,23386200,UNVR.JK
2021-07-15,4146.7369870676575,4270.520180711468,4146.7369870676575,4249.8896484375,14978400,UNVR.JK
2021-07-16,4249.8896484375,4291.150712985437,4167.367519341627,4249.8896484375,9184800,UNVR.JK
2021-07-19,4208.628579125616,4229.259111376231,4146.736982373768,4187.998046875,7018000,UNVR.JK
2021-07-21,4187.998694740853,4249.890301067073,4167.3681592987805,4229.259765625,11283600,UNVR.JK
2021-07-22,4229.259440104167,4249.889973958333,4126.106770833333,4146.7373046875,20499500,UNVR.JK
2021-07-23,4093.0971598307287,4093.0971598307287,3961.0617675781245,3961.061767578125,74486500,UNVR.JK
2021-07-26,3961.062666223404,3977.5670939993347,3878.5405273437495,3878.54052734375,33290700,UNVR.JK
2021-07-27,3878.5401095920142,3878.5401095920142,3680.4869976128475,3713.495849609375,55131100,UNVR.JK
2021-07-28,3713.495435393258,3746.504283707865,3647.4777387640447,3672.234375,17865300,UNVR.JK
2021-07-29,3672.2345576825924,3680.486770171767,3573.2080078125,3573.2080078125,35079600,UNVR.JK
2021-07-30,3622.7214569525695,3639.225882724563,3482.433837890625,3482.433837890625,59329000,UNVR.JK
2021-08-02,3482.434036532315,3630.973876953125,3474.1818231756033,3630.973876953125,47024900,UNVR.JK
2021-08-03,3630.9739092822488,3688.739403293557,3606.217268991688,3614.469482421875,25149400,UNVR.JK
2021-08-04,3630.9734952367207,3647.4779202150694,3548.451370344977,3573.2080078125,25519900,UNVR.JK
2021-08-05,3573.207844502217,3672.234389846389,3515.442359718116,3663.982177734375,47119200,UNVR.JK
2021-08-06,3663.9826980521775,3696.9915511877825,3630.9738449165725,3647.478271484375,23050300,UNVR.JK
2021-08-09,3639.225738879423,3647.4779514392403,3548.451400721433,3556.70361328125,17401800,UNVR.JK
2021-08-10,3548.4514935661764,3564.9559191176468,3482.433791360294,3507.1904296875,20393900,UNVR.JK
2021-08-12,3540.1990952299216,3573.2079446026946,3441.172547111602,3474.181396484375,28977900,UNVR.JK
2021-08-13,3490.686004136029,3515.442642463235,3474.181578584559,3507.1904296875,10076000,UNVR.JK
2021-08-16,3498.9381259412653,3507.1903385024475,3408.1637877682606,3424.668212890625,17673100,UNVR.JK
2021-08-18,3441.1727580618353,3531.947099401596,3424.668332363697,3490.68603515625,32100800,UNVR.JK
2021-08-19,3507.1904017687425,3515.4426144787867,3383.4072111180812,3391.659423828125,18192800,UNVR.JK
2021-08-20,3375.154815148956,3399.9114519348896,3342.1459661010445,3358.650390625,12646500,UNVR.JK
2021-08-23,3366.903108643781,3416.416389653248,3325.6420411358913,3350.398681640625,22533200,UNVR.JK
2021-08-24,3350.3984063840376,3383.407257678462,3333.8939807368256,3366.90283203125,18406800,UNVR.JK
2021-08-25,3391.6590918671313,3449.424575183603,3383.406879964778,3441.17236328125,22682800,UNVR.JK
2021-08-26,3441.1729804974025,3441.1729804974025,3342.146419907549,3375.1552734375,19988900,UNVR.JK
2021-08-27,3350.398238794975,3358.6504512058,3309.1371767408496,3325.6416015625,21212400,UNVR.JK
2021-08-30,3333.8939046421006,3408.163818359375,3325.6416920068477,3408.163818359375,21892200,UNVR.JK
2021-08-31,3391.659517867477,3424.668369622878,3342.146240234375,3342.146240234375,38977800,UNVR.JK
2021-09-01,3358.65083067359,3391.6596840463035,3350.3986173304115,3383.407470703125,23793400,UNVR.JK
2021-09-02,3391.659362645896,3424.668212890625,3383.407150084714,3424.668212890625,12173000,UNVR.JK
2021-09-03,3441.172742735665,3507.190445234191,3424.6683171110335,3498.938232421875,22908300,UNVR.JK
2021-09-06,3498.9382169117644,3548.4514935661764,3474.181578584559,3507.1904296875,18434200,UNVR.JK
2021-09-07,3507.1904296875,3540.1992807904408,3507.1904296875,3507.1904296875,16097400,UNVR.JK
2021-09-08,3507.1906708508004,3523.695097537157,3358.65083067359,3383.407470703125,27585800,UNVR.JK
2021-09-09,3383.407470703125,3424.668537419017,3358.65083067359,3383.407470703125,22145100,UNVR.JK
2021-09-10,3408.16389614928,3424.668321796492,3366.90283203125,3366.90283203125,14311100,UNVR.JK
2021-09-13,3366.902648321473,3383.407073068147,3325.641586454788,3333.893798828125,16431100,UNVR.JK
2021-09-14,3342.146240234375,3375.1550919897763,3325.6418143566743,3342.146240234375,15456600,UNVR.JK
2021-09-15,3342.146011201462,3366.902648321473,3325.641586454788,3333.893798828125,16681800,UNVR.JK
2021-09-16,3342.1460569766987,3358.6504819494235,3300.884994544888,3309.13720703125,20730600,UNVR.JK
